id,animal_species,breed,name,cross,bio,status,arrival_date,leaving_date,gender,hair_type,hair_length,cage
34,Cat,Cymric,Duke,1,,q,10/29/2017,,Male,Flat,Long,
35,Cat,Oriental Bicolor,Abby,1,,d,04/09/2018,07/14/2018,Female,Smooth,Long,
36,Cat,Savannah,Chloe,0,,d,08/06/2018,08/17/2018,Female,Flat,Hairless,
37,Cat,Korn Ja,Oscar,1,,a,10/08/2017,,Male,Curly,Long,
38,Cat,Ojos Azules,Rosie,0,,d,11/06/2017,01/04/2018,Female,Wiry,Hairless,
39,Dog,Scottish Deerhound,Toby,0,,r,02/03/2018,,Male,Wiry,Short,
40,Dog,Northern Inuit Dog,Buster,0,,q,08/31/2017,,Male,Fluffy,Hairless,
41,Dog,Norwegian Elkhound,Oliver,1,,q,08/21/2018,,Male,Smooth,Short,
42,Cat,Himalayan,Bailey,1,,r,08/01/2018,,Female,Fluffy,Medium,
43,Cat,Manx,Charlie,1,,d,09/07/2017,06/27/2018,Male,Smooth,Hairless,
44,Cat,Norwegian Forest cat,Coco,0,,d,06/07/2018,08/13/2018,Female,Fluffy,Medium,
45,Cat,Korn Ja,Jack,1,,a,12/28/2017,,Male,Wiry,Short,
46,Cat,Munchkin,Bailey,1,,q,09/02/2017,,Male,Fluffy,Medium,
47,Dog,Pumi,Charlie,1,,a,08/15/2018,,Male,Fluffy,Short,
48,Dog,Bucovina Shepherd Dog,Chloe,1,,r,11/09/2017,,Female,Flat,Hairless,
49,Dog,Weimaraner,Bailey,0,,a,08/20/2018,,Male,Wiry,Long,
50,Cat,Pixie-bob,Rocky,1,,q,02/05/2018,,Male,Wiry,Short,
51,Cat,Sam Sawet,Gracie,0,,q,03/19/2018,,Female,Wiry,Medium,
52,Cat,Napoleon,Toby,1,,q,04/16/2018,,Male,Fluffy,Medium,
53,Cat,Oriental Bicolor,Sasha,0,,d,07/16/2018,08/16/2018,Female,Smooth,Long,
54,Cat,Kurilian Bobtail,Daisy,0,,a,06/30/2018,,Female,Flat,Long,
55,Cat,Raas,Lucy,1,,d,05/17/2018,06/03/2018,Female,Fluffy,Short,
56,Dog,Chippiparai,Daisy,0,,d,10/14/2017,05/30/2018,Female,Fluffy,Medium,
57,Dog,English Water Spaniel,Bailey,1,,d,02/17/2018,04/15/2018,Male,Wiry,Short,
58,Dog,Blue Heeler,Lucky,1,,q,04/29/2018,,Male,Smooth,Hairless,
59,Dog,Czechoslovakian Wolfdog,Angel,1,,d,07/17/2018,08/25/2018,Female,Smooth,Long,
60,Cat,Chartreux,Cooper,0,,d,10/31/2017,04/01/2018,Male,Flat,Long,
61,Dog,Croatian Sheepdog,Jack,0,,r,12/01/2017,,Male,Flat,Medium,
62,Cat,Ragdoll,Abby,1,,q,09/13/2017,,Female,Curly,Hairless,
63,Dog,Cairn Terrier,Lucy,1,,a,09/10/2017,,Female,Flat,Short,
64,Cat,"Russian White, Black, and Tabby",Bear,0,,r,10/18/2017,,Male,Curly,Short,
65,Dog,Cierny Sery,Duke,1,,d,11/07/2017,11/30/2017,Male,Fluffy,Medium,
66,Cat,Karelian Bobtail,Teddy,1,,a,01/06/2018,,Male,Wiry,Short,
67,Dog,Canaan Dog,Teddy,1,,q,08/10/2018,,Male,Wiry,Hairless,
68,Dog,Thai Bangkaew Dog,Murphy,0,,r,12/27/2017,,Male,Wiry,Short,
69,Cat,Devon Rex,Teddy,1,,a,02/10/2018,,Male,Flat,Short,
70,Dog,Japanese Chin,Max,1,,d,03/26/2018,08/12/2018,Male,Curly,Short,
71,Cat,Korat,Oscar,0,,a,08/20/2018,,Male,Wiry,Medium,
72,Dog,Gran Mastín de Borínquen,Cody,1,,a,11/30/2017,,Male,Flat,Medium,
73,Cat,Dwelf,Oliver,0,,r,08/29/2017,,Male,Smooth,Hairless,
74,Cat,Donskoy,Bella,1,,q,09/28/2017,,Female,Curly,Medium,
75,Cat,Siamese,Sophie,0,,d,03/13/2018,07/17/2018,Female,Smooth,Medium,
76,Dog,Norwich Terrier,Duke,1,,a,07/29/2018,,Male,Flat,Medium,
77,Dog,German Pinscher,Jake,0,,r,08/13/2018,,Male,Curly,Hairless,
78,Dog,Chinook,Max,0,,d,04/15/2018,07/05/2018,Male,Wiry,Long,
79,Cat,Cheetoh,Lola,1,,q,09/01/2017,,Female,Fluffy,Hairless,
80,Cat,Ragamuffin,Ginger,0,,a,09/10/2017,,Female,Fluffy,Medium,
81,Dog,Braque du Bourbonnais,Buster,0,,q,03/01/2018,,Male,Flat,Long,
82,Cat,Karelian Bobtail,Jack,0,,a,05/08/2018,,Male,Flat,Long,
83,Cat,Siamese,Angel,0,,r,10/01/2017,,Female,Smooth,Long,
84,Dog,Austrian Pinscher,Harley,1,,a,03/10/2018,,Male,Fluffy,Short,
85,Dog,Croatian Sheepdog,Lucky,1,,a,12/04/2017,,Male,Fluffy,Hairless,
86,Cat,Devon Rex,Lola,1,,a,08/24/2018,,Female,Flat,Long,
87,Cat,Exotic Shorthair,Zoe,1,,q,06/21/2018,,Female,Smooth,Short,
88,Dog,Artois Hound,Angel,0,,q,11/27/2017,,Female,Smooth,Long,
89,Cat,Norwegian Forest cat,Teddy,0,,d,09/26/2017,11/26/2017,Male,Curly,Medium,
90,Cat,Persian (modern),Bailey,0,,q,05/19/2018,,Female,Smooth,Long,
91,Dog,Lagotto Romagnolo,Angel,0,,d,05/07/2018,08/01/2018,Female,Fluffy,Short,
92,Cat,Egyptian Mau,Teddy,0,,q,07/30/2018,,Male,Wiry,Long,
93,Cat,Munchkin,Winston,1,,r,02/26/2018,,Male,Flat,Medium,
94,Cat,Persian (traditional),Zoe,0,,a,10/12/2017,,Female,Wiry,Medium,
95,Cat,Ocicat,Rosie,0,,r,09/17/2017,,Female,Wiry,Long,
96,Cat,Oriental Shorthair[d],Charlie,1,,q,05/23/2018,,Male,Flat,Hairless,
97,Dog,Sussex Spaniel,Daisy,1,,a,05/19/2018,,Female,Smooth,Hairless,
98,Cat,German Rex,Roxy,1,,q,12/30/2017,,Female,Wiry,Long,
99,Cat,Minskin,Bailey,0,,a,12/11/2017,,Female,Smooth,Hairless,
100,Cat,Russian Blue,Rosie,0,,q,10/22/2017,,Female,Smooth,Short,
101,Dog,Dogo Argentino,Sasha,1,,a,10/09/2017,,Female,Wiry,Medium,
102,Dog,Polish Hunting Dog,Ginger,0,,d,10/01/2017,02/05/2018,Female,Flat,Medium,
103,Cat,Scottish Fold,Sam,0,,d,02/08/2018,05/11/2018,Male,Wiry,Short,
